N PRN ____a_______   _____e____   _____i____   __OMEGA0__  _____M0____   ___omega__

01 01 26560313.211   0.00801090   0.97212037   2.66022100  -1.74437128   0.65954741
02 03 26560893.156   0.00154930   0.96146435  -2.58064359  -2.66799025   0.49005546
03 05 26561133.459   0.00549142   0.94836883  -2.60313513   1.25109263   0.63105587
04 06 26560285.393   0.00106522   0.97182088   2.65189699  -1.58633152  -1.03629177
05 08 26559521.482   0.00344996   0.96918006   1.59479886   0.76136984  -0.40550651
06 09 26559371.285   0.00088656   0.95217310  -1.54693671   0.68467977   1.83333247
07 10 26560359.785   0.00361863   0.96154952  -2.58407022   2.47963086  -2.75889627
08 11 26560056.968   0.01698801   0.90592160   2.23007362  -2.40605291   1.78124992
09 12 26559248.099   0.00712909   0.98638673   0.62378753  -2.98384337   1.00664927
10 13 26560128.686   0.00328875   0.96787134  -1.41443982  -0.86069874   1.53094592
11 14 26559520.067   0.01005125   0.96042101  -1.45668689   0.11664569  -1.94569052
12 15 26561286.591   0.01037298   0.92772492  -1.61893035  -0.44523328   0.68579967
13 16 26560364.602   0.00997254   0.98679088   0.64268958   1.39372068   0.52383832
14 17 26559451.908   0.01240683   0.98268513   1.65801027   0.38190394  -1.77699616
15 18 26560045.349   0.01480416   0.95048624   2.61203324  -1.99372930   1.32117088
16 20 26560366.057   0.00400040   0.92893557  -2.69171412  -1.84790831   2.04799929
17 21 26560357.367   0.02434758   0.94473607   2.60465478   2.74880003  -1.54399105
18 22 26561350.604   0.00727289   0.92563519  -2.64200730  -0.27991368  -1.50829604
19 23 26561230.914   0.01264109   0.94299537  -1.54902396  -0.91340144  -2.34207084
20 24 26559927.903   0.00700551   0.94128276  -0.52975984  -1.43321201   0.53830466
21 25 26559916.009   0.00745313   0.97402720   0.56344880   2.82266169   0.87204167
22 26 26560588.625   0.00278597   0.95553810   0.54063709   2.29671839   0.11284437
23 27 26560491.348   0.00599605   0.97738118   1.60364648   0.43375249   0.45113185
24 28 26560530.982   0.01945375   0.98567020   0.64689209   1.34055995  -1.51740790
25 29 26560239.389   0.00083790   0.98398975   1.66868747   1.21419892   1.38265516
26 30 26560765.032   0.00358356   0.94386188  -0.43635493  -2.37869464  -3.02545468
27 31 26560523.079   0.00876537   0.96290640  -0.45652877  -2.59468009  -0.12390285
28 32 26560354.674   0.00226552   0.95653540  -1.54173416   1.13671289  -2.52166291
